Category,Headline,SubHeading,Link,isResult,isMaybe
OL,Russisk stjerne beder om norsk respekt - men får det ikke,De kritiske kommentarer fra den norske stjerne Nora Mørk preller af på den russiske stjerne Anna Vyakhireva,,False,
OL,"- Det var så tæt på, siger berørt OL-dansker","Emily Pedersen står tilbage med følelsen af, at hun smed chancen for en OL-medalje væk på de sidste ni huller",,True,
OL,USA genvinder OL,USA besejrede Frankrig med 87-82 i basketfinalen og er mester for 16. gang i historien,,True,
OL,Dansker veksler tredjeplads til femteplads ved OL,Emily Pedersen og Nanna Madsen sluttede som nummer fem og ni i OL's golfturnering,,True,
OL,"- Vi kan ikke sætte en målsætning lavere end guld, siger Mørkøv","Den danske cykelduo Lasse Norman Hansen og Michael Mørkøv går benhårdt efter guldmedaljen, når de lørdag kører parløb på bane",,False,
OL,Dansk firerkajak slutter sidst i regnfuld OL-finale,Emma Aastrand Jørgensen og holdkammeraterne blev nummer otte i finalen i 500 meter firerkajak,,True,
OL,Hvad kan vi vente af Frankrig? OL-helte fra 2016 giver deres bud,"Selvom franskmændene har gennemgået et generationsskifte, venter flere af de gamle stjerner på danskerne i lørdagens OL-finale",,False,
OL,Fransk stjerne i overraskende kovending,"Den franske landsholdsfløj Luc Abalo havde oprindeligt meddelt, at han ville stoppe karrieren efter OL. Nu overvejer han at fortsætte",,False,
OL,Andersson ignorerer smerterne,"Lasse Andersson har været ankelskadet under OL, hvor han har siddet ude i to kampe. Lørdag spiller han finale",,False,
OL,Norsk reaktion efter OL-nederlag kaldes for pinlig,De norske spillere skal først og fremmest kigge ind ad og ikke kritisere dommerne. Det siger flere norske eksperter,,True,
OL,Disse danskere skal lørdag i aktion ved OL,"Der er flere medaljemuligheder, når de danske atleter skal i aktion lørdag",,False,
OL,Her er billederne fra OL-stjernernes hjemkomst,"Både familie, venner og fans var mødt op uden for Københavns Lufthavn for at byde Viktor Axelsen og Anne-Marie Rindom velkommen hjem",,False,
OL,Canada tager OL-fodboldguld - første transkønnede får metal,Canadiske Quinn er den første transkønnede person til at vinde en medalje ved OL,,True,
OL,Norsk gulddrøm knust - misser OL-finale efter drama,For andet OL i træk er Frankrig og Rusland klar til OL-finalen i kvindehåndbold. I 2016 vandt russerne guld,,True,
OL,Undskyldning transmitteret på tv - bed i OL-guldvinders medalje,"Borgmesteren Takashi Kawamura fik mange på nakken, da han bed i en guldmedalje fra en OL-atlet",,False,
OL,Julie Leth blev dårlig efter parløbet,"OL-sølvvinderen Julie Leth gav sig fuldt ud, da hun kørte parløb fredag formiddag",,False,
OL,"- En kæmpe præstation både taktisk og fysisk, siger ekspert",Julie Leth og Amalie Dideriksen holdt hovedet koldt i kaossen på cykelbanen i Izu. For den præstation blev de belønnet med en OL-sølvmedalje,,True,
OL,Norman jubler over kærestens sølv: - Det er kæmpestort,"Privat danner banespecialisten Lasse Norman par med Julie Leth, der fredag vandt OL-sølv i parløb. Norman stiller også op i disciplinen",,True,
OL,Frankrig slår svenskere og er i OL-finalen,For andet OL i træk er Frankrig klar til finalen i kvindehåndbold. Det står klart efter en sejr over Sverige,,True,
OL,Dideriksen var bange for at juble for tidligt,"Amalie Dideriksen og Julie Leth var bange for at juble for tidligt, da de vandt sølv ved OL",,True,
OL,Danske sølvvindere ofrede alt: - Chancen eller ambulancen,"Julie Leth og Amalie Dideriksen blev nummer to i parløb, hvor flere konkurrenter styrtede",,True,
OL,Dansk duo vinder OL-sølv,"Julie Leth og Amalie Dideriksen kørte et tæt på perfekt parløb, hvor et angreb med 35 omgange tilbage blev afgørende. Briterne var suveræne",,True,
OL,Dansker skal dømme OL-finale,"Danske Mark Beckmann får en stor oplevelse ved middagstid dansk tid fredag, når han skal dømme herrernes holdturneringsfinale mellem Kina og Tyskland",,False,
OL,OL-dansker på delt tredjeplads inden sidste runde,"De danske spillere var ikke lige så flyvende på banen i Tokyo som torsdag, men håbet om en dansk OL-medalje lever stadig efter fredagens runde",,True,
OL,Danmarks færing har skrevet OL-historie,"Johan Hansen fra det danske håndboldlandshold sikrede Færøerne den første olympiske medalje nogensinde, da han med Danmark spillede sig i OL-finalen",,True,
OL,Hviderussiske trænere er bortvist fra OL efter sag om sprinter,Cheftræneren for Hvideruslands atletikhold er blevet sendt hjem fra OL efter sag om afhoppet sprinter,,False,
OL,Emma Aastrand og firerkajak sniger sig med i OL-semifinale,Den danske firerkajak blev nummer seks i opsamlingsheatet på 500-meterdistancen og sneg sig i semifinalerne,,True,
OL,Danmark har nået OL-målsætningen,"Danmarks Idrætsforbund håber, at succesen ved OL vil smitte af ude i de små idrætsforeninger i Danmark",,False,
OL,Drengeryttere har givet danske kvinder modstand før OL,Julie Leth og Amalie Dideriksen har måttet arrangere træningsløb med mandlige ungdomsryttere før OL,,False,
OL,Fløj scorede med ryggen mod målet: - Et af karrierens fedeste mål,"Håndholdherrernes højre fløj Johan Hansen scorede et mærkværdigt mål i OL-semifinalen mod Spanien, men det var ikke dét, der betød mest for Hansen",,True,
OL,"- Jeg nød hans vidunderlige attitude, hvor han virkelig var en inspiration",TV 2 SPORTs håndboldekspert Bent Nyegaard giver karakterer til Danmarks spillere efter semifinalesejren over Spanien,,True,
OL,"- Det var en af mine bedre kampe, siger Mikkel Hansen","Mikkel Hansen kaldte det en af sine bedre dage, da han tordnede 12 mål i kassen i Danmarks semifinalesejr",,True,
OL,Nikolaj Jacobsen trøstede spansk spiller,"Nikolaj Jacobsen jublede over sejren, men efterfølgende trøstede han en spansk ven",,True,
OL,Danmark er i OL-finalen efter drama,Danmark er klar til at spille om OL-guldet efter en dramatisk semifinale mod Spanien,,True,
OL,Her er årtusindets største danske OL-skuffelser,"Der har været mange store danske præstationer ved OL gennem tiderne. Men der har også været præstationer af den slags, der gør ondt",,False,
OL,Dansker ender uden for medaljerne på banen,Det blev til en femteplads for Niklas Larsen ved OL i Omnium,,True,
OL,Axelsen er sulten på mere - vil være dobbelt olympisk mester,"Viktor Axelsen fortæller, at han fortsat er sulten på mere og bekræfter, at han igen går efter OL-guldet i Paris",,False,
OL,Danskere ligger til OL-medaljer efter superrunder,Halvvejs gennem OL's golfturnering for kvinder ligger de to danskere på en delt andenplads. Dette skyldes flotte 18 huller torsdag,,True,x
OL,Aastrand kæmpede mentalt før OL-finalen,"Emma Aastrand Jørgensen vandt tidligt torsdag morgen bronze i 500 meter enerkajak. Inden finalen havde hun svært ved at ""finde glæden""",,True,
OL,"Mor brød ind i dansk bronze-interview: - Hun siger, hun er vigtigst","Den 25-årige kajakroer Emma Aastrand Jørgensen havde stadig våde øjne, da hun mødte pressen, efter at endnu en OL-bronzemedalje var i hus",,True,
OL,To danske sprintrekorder,"Hverken kvindernes eller herrernes danske stafetrekorder rakte til en plads i finalen. Mens kvinderne er lettede over tiden, er herrerne skuffede",,True,
OL,Emma Aastrand vinder endnu en OL-medalje,Emma Aastrand Jørgensen har nu sikret Danmark to OL-medaljer ved de olympiske lege i Tokyo,,True,
OL,Dansk roer er klar til sin anden OL-finale,Efter en solid semifinale skal Emma Aastrand Jørgensen for anden gang ved OL i Tokyo ro i en finale,,True,
OL,Dansk skateboard-ikon styrter tre gange og misser finale,"Rune Glifberg var ikke i nærheden af en plads i finalen, da han natten til torsdag fik sin OL-debut i Tokyo",,True,
OL,"- De sociale medier har været ekstremt hårde ved ham, siger OL-dansker","Den danske banelandsholdsrytter Frederik Rodenberg Madsen har modtaget flere hårde beskeder på de sociale medier, efter han styrtede i tirsdagens løb",,False,
OL,Dansk skateboard-ikon kunne være far til OL-modstandere,Rune Glifberg er 20 til 30 år ældre end de fleste konkurrenter i torsdagens skateboard-konkurrence ved OL,,False,
OL,Længdespring gik helt galt,"Belgiske Thomas van der Plaetsen er ude af OL, efter han kom til skade i et meget uheldigt længdespring",,True,
OL,Landstræner i tårer overvejer sit job,Casper Jørgensen er hårdt ramt af nederlaget i OL-finalen og skal gruble over sin fremtid,,True,
OL,"Jublende dansker troede, de havde vundet OL-guld","Danmarks banelandshold blev nummer to ved OL, hvor guld har været målet i flere år",,True,
OL,Banelandsholdet misser OL-guldet,"De danske favoritter førte ud på sidste omgang, men Italien pressede sig lige nøjagtigt foran og tog OL-guld",,True,
OL,Axelsen tjekkede Google: - Det er for sindssygt,"Selv H.C. Andersen ville have haft svært ved at skrive et bedre eventyr om den lille knægt fra Odense, der endte med at stå med OL-guldet i Tokyo",,True,
OL,Eksperter efterladt i chok over vild rekord,Karsten Warholm har som den første og eneste i verden løbet 400 meter hæk på under 46 sekunder,,True,
OL,41-årig målvogters indhop sender Norge i semifinalen,"Katrine Lunde kom ind med en redningsprocent på 63, da Norges håndboldkvinder spillede sig i OL-semifinalen",,True,
OL,Italien har planen klar: Sådan vil de slå Danmark,Filippo Ganna og co. kommer ikke til at fokusere på Danmark i OL-finalen i 4000 meter holdforfølgelsesløb,,False,
OL,Japaner er yngste medaljevinder siden 1936,Sakura Yosozumi tog onsdag den tredje japanske skateboard-guldmedalje ved OL ud af tre mulige,,True,
OL,Landstræner og bookmakere uenige om styrkeforhold i OL-finale,"Danmarks banelandstræner forventer en meget tæt guldduel, mens bookmakerne har Danmark som en klar favorit",,False,
OL,Danskers OL-håb slukket for anden gang,Den danske bryder Fredrik Bjerrehuus tabte til russiske Artem Surkov og er færdig ved OL i Tokyo,,True,
OL,OL's første transkønnede atlet stopper karrieren,Newzealandske Laurel Hubbards deltagelse ved OL har skabt stor debat om transkønnede atleter i kvindesport,,False,
OL,Derfor var OL-dansker rasende efter styrt,"Det var faktisk slet ikke så underligt, som det måske så ud, da Frederik Rodenberg bragede ind i en britisk modstander",,False,
OL,Kvalmende mantra bag vanvittig norsk rekord,"Norges Karsten Warholm blæste verdensrekorden på 400 meter hæk omkuld båret oppe på humor og et mantra, de har hørt til kvalmegrænsen nordpå",,True,
OL,Jacobsen fremhæver Holms afgørende egenskab,"Jacob Holm spillede en stor kamp mod Norge, inden han måtte forlade banen med ondt i knæet",,False,
OL,Disse danskere skal onsdag i aktion ved OL,Det danske banelandshold skal forsøge at tage guldet i 4000-meters holdløb,,False,
OL,Sagosen raser mod dommerne: - Det er bare pis,Kiel-spilleren havde travlt med at brokke sig over dommerne efter nederlaget til Danmark,,True,
OL,"Her er reglen, der sendte Danmark i OL-finalen","Der var stor forvirring om udfaldet af OL-semifinalen, efter en britisk og en dansk banerytter styrtede i slutningen af løbet",,True,
OL,"Konkurrenterne heppede, da svensk guldvinder gik efter rekorden",Armand Duplantis vandt i sikker stil OL-guld i stangspring og var tæt på at slå sin egen verdensrekord,,True,
OL,Springsteens datter skubber dansker ud af OL-finale,Danske Andreas Schou kommer ikke i OL-finalen i ridebanespringning. En musikstjernes datter kom i vejen,,True,
OL,Topkarakter til Holm: - Føj for en præstation,TV 2 SPORTs håndboldekspert Bent Nyegaard giver karakterer til Danmarks spillere efter kvartfinalesejren over Norge,,True,
OL,Legender hylder Axelsen: Han er den største nogensinde,"Tidligere landstræner Steen S. Pedersen hylder Viktor Axelsens præstationer, men ser ham ikke nødvendigvis som den bedste dansker gennem tiderne",,False,
OL,Jacobsen efterlyser respekt for landsholdet,"Nikolaj Jacobsen mener efter kvartfinalen mod Norge, at kritikken oven på nederlaget til Sverige var åndssvag",,True,x
OL,Styrtet OL-dansker slutter fred med brite efter drama,"Frederik Rodenberg har udvekslet beskeder med den britiske rytter, som han kolliderede med på cykelbanen ved OL",,False,
OL,Dansk bryder får ny mulighed for medalje efter nederlag,"Fredrik Bjerrehuus tabte 1-5 til ukraineren Parviz Nasibov, men kan stadig vinde bronze ved OL i Tokyo",,True,
OL,"- Jeg har aldrig oplevet noget lignende, siger banelandstræneren","Den danske lejr havde svært ved at sætte ord på den vilde OL-semifinale, som blandt andet bød på styrt",,False,
OL,Groggy Gidsel under observation,"Mathias Gidsel måtte forlade banen i en situation, hvor Norges Sander Sagosen fik sin tredje udvisning og dermed et rødt kort",,False,
OL,"- Lige nu nyder jeg det bare, siger lettet Niklas Landin",Den danske målmand var mest af alt lettet efter sejren over Norge,,True,
OL,Danmark er i OL-finalen efter styrt og kæmpe drama,Efter et styrt i holdløbet er Danmark videre til OL-finalen. Afgørelsen lod vente på sig,,True,
OL,Danmark nedlægger Norge i kvartfinalen,Håndboldherrerne fortsætter deres vej mod et OL-titelforsvar i Tokyo. Tirsdag spillede Danmark sig videre til semifinalen,,True,
OL,Nu har Danmark syv medaljer - hvor kan der komme flere?,"Danmark har gode muligheder for medaljer, når det kommer til blandt andet cykling, håndbold og kajak",,False,
OL,Flot afslutning sikrer dansk fjerdeplads,Den danske Nacra 17-båd med Lin Ea Cenholt og Christian Peter Lübeck slutter som nummer fire ved OL,,True,
OL,Viktor Axelsen forklarer sin grådkvalte jubelscene,Den danske stjerne har nu vundet medalje ved to olympiske lege i træk. I 2016 blev det til bronze,,True,
OL,"- Sagt med al respekt for Norge, så er Danmark meget stor favorit","Norge skal gøre op med lidt af et 'dansk kompleks' i OL-kvartfinalen, hvor Bent Nyegaard ikke levner nordmændene store chancer mod Danmark",,False,
OL,"- Det er jo en kæmpe forløsning. Også for os, siger Axelsens søster","Der er enorm glæde og stolthed over OL-guldet hos Viktor Axelsens familie, der om nogen kender til det hårde slid bag succesen",,False,x
OL,Dansk 49'er slutter som nummer fem,49'er-båden med Jonas Warrer og Jakob Precht sluttede som femmer efter en ottendeplads i medaljesejladsen,,True,
OL,Danske sejlere slutter godt af,Ida Marie Baad og Marie Thusgaard slutter som nummer otte i 49'er FX efter et flot medaljesejlads,,True,
OL,Nordmand smadrer verdensrekord og vinder OL-guld,Karsten Warholm slog sin egen verdensrekord i 400 meter hæk og tog guld ved OL i Tokyo,,True,
OL,"Skuffet dansker troede, hun vandt sølv: - Det kan ikke være rigtigt","Den 25-årige kajakroer Emma Aastrand Jørgensen blev udråbt som OL-sølvvinder på resultattavlen, men øjeblikke senere blev det ændret til bronze",,True,
OL,Emma Aastrand vinder OL-bronze efter vild afgørelse,"Danmarks sjette OL-medalje kom i hus på vandet i Tokyo. Kortvarigt var meldingen, at danskeren havde vundet sølv, men det blev ændret til bronze",,True,
OL,Feber og infektion ramte dansk OL-hest,"Andreas Schou og hesten Dark de Luxe fik skidt start på OL-ophold, men er klar til ridebanespringning tirsdag",,False,
OL,Danmarks brug af tape vækker opsigt hos legende,"Chris Boardman undrer sig over, hvorfor det danske 4000 meterhold kørte med tape i kvalifikationen ved OL",,False,
OL,Disse danskere skal tirsdag i aktion ved OL,"Banelandsholdet i 4000 meter holdløb er sikker på en finaleplads og dermed en OL-medalje, hvis de besejrer Storbritannien",,False,
OL,Sov med kaktusser og gik med kobbersmykker i jagten på det perfekte,"Det er ikke et tilfælde, at Viktor Axelsen i dag står som olympisk guldvinder. For tilfælde findes nærmest ikke som et begreb i fynboens ordbog",,False,
OL,Høyer til Axelsen: Intet som OL-guld,"OL-guldvinderen kunne ikke holde tårerne tilbage. Først da sidste duel var overstået, turde han tro på det",,True,
OL,Modstander hev fat i Axelsen for at ønske ham et godt helbred,"Viktor Axelsen spurgte sin modstander, om de skulle skifte trøje efter OL-finalen",,False,
OL,"- Axelsen tager den et niveau over i dag, siger landstræner","Kenneth Jonassen kalder Viktor Axelsen for den ultimative professionelle sportsmand, som har fortjent sin OL-guldmedalje",,False,x
OL,Rørt Slott: - Den værst tænkelige afslutning,"Styrtet i sidste løb som professionel indkapsler, hvad sport er, mener Sara Slott efter dramatisk afslutning",,False,
OL,- Jeg kan slet ikke stoppe med at tude,"Viktor Axelsen har nu vundet guld ved OL, individuelt VM og hold-VM",,True,
OL,Viktor Axelsen vinder OL-guld,For anden gang i historien har Danmark vundet en OL-guldmedalje i badminton,,True,
OL,OL-sprinter får asyl i Polen efter kritik af sine trænere,"Krystsina Tsimanouskaya blev beordret til Hviderusland, men fik hjælp af politiet i lufthavnen",,False,
OL,Sara Slotts karriere slutter med styrt i OL-semifinale,"OL-sølvvinder fra 2016 Sara Slott Petersen lå med fremme, men snublede i en hæk i semifinalen ved OL i Tokyo",,True,
OL,Transkvinde ude af OL,Den 43-årige Laurel Hubbard har fået kritik for at have fysiske fordele efter at have levet 35 år som mand,,False,
OL,Banelandstræner efter OL-rekord: - Vi kørte dårligt,"Der er plads til forbedring trods olympisk rekord i kvalifikationen, mener banelandstræner Casper Jørgensen",,True,
OL,Sagosen skændtes med stjerne - måtte skilles ad efter kampen,"Selvom Norge vandt med tre mål over Frankrig, var Sander Sagosen i diskussion efter kampen",,True,
OL,"I dag kan transkønnet vinde OL-medalje, og det er ikke i orden, lyder kritikken","Selvom Laurel Hubbard har været gennem et kønsskifte, har hun stadig biologiske fordele, siger idrætsforsker",,False,
OL,Danmark smadrer olympisk rekord,Danmarks banelandshold skal møde Storbritannien i semifinalen i disciplinen 4000 meters holdforfølgelsesløb,,True,x
OL,Nu stiller superstjerne op efter stribevis af afbud,TV-seere verden over kan igen glæde sig til at se en af verdens bedste gymnaster i aktion,,False,
OL,"Axelsen står i ""fuldstændig fantastisk position"" - og nu skal guldet med hjem",Chen Long har slået Viktor Axelsen hele 14 gange tidligere i karrieren. Mandag mødes de to i den største kamp af dem alle,,True,
OL,Norsk profil skal opereres inden Danmark-brag,"En af det norske landsholds nøglespillere, Christian O'Sullivan, bliver nok ikke klar til OL-kvartfinale",,False,
OL,"Rindom vil ikke afvise, at hun går efter OL-guld i 2024","Kroppen har det godt, og derfor vil Anne-Marie Rindom bestemt ikke afvise, at hun kommer til at jagte endnu en guldmedalje ved OL i 2024",,False,
OL,Vejret udsætter dansk medaljechance,Sejlerne Jonas Warrer og Jakob Precht skal tidligst tirsdag kæmpe for medalje i 49'eren,,False,
OL,Hendes masker stjæler fokus ved OL - og det er helt efter planen,Kuglestødsfænomenet Raven Saunders har været igennem en svær periode efter sit gennembrud i 2016. Nu har hun lært at finde ro og kontrollere sig selv,,False,
OL,Nikolaj Jacobsen har truffet beslutning om afgørende udskiftning,Der er gode nyheder for Danmarks herrelandshold i håndbold. Lasse Andersson er nemlig klar til at spille igen,,False,
OL,Emma Aastrand stryger sikkert i semifinalen,Emma Aastrand Jørgensen er videre til semifinalerne ved OL i Tokyo efter en sikker sejr i sit indledende heat,,True,
OL,"Nadal langer ud efter '""mærkelig"" Djokovic-opførsel",Novak Djokovic var rasende og smadrede en ketsjer efter sit OL-exit. Det giver Rafael Nadal ikke meget for,,True,
OL,Rørende billeder: Konkurrenter får lov til at dele OL-guldet,"Der blev skrevet OL-historie i mændenes højdespringskonkurrence, hvor der blevet fundet to vindere",,True,
OL,OL-sprinter ville ikke sendes hjem og søgte hjælpe hos politiet i lufthavnen,"Krystsina Tsimanouskaya blev beordret til Hviderusland, men fik hjælp af politiet i lufthavnen, hævder hun",,False,
OL,Svensk ekspert kalder Danmark for et feriehold,"Danmark lignede et ""feriehold"" i opgøret mod Sverige, lyder det fra svensk ekspert, der langt fra var imponeret over den danske indsats",,False,
OL,- Hvor er det fantastiske skudrepertoire blevet af?,TV 2 SPORTs håndboldekspert Bent Nyegaard giver karakterer til Danmarks spillere efter nederlaget til Sverige,,True,
OL,Rørt Rindom måtte tørre tårer væk under takketale,"Anne-Marie Rindom brugte sin takketale på at fremhæve hele det hold, der er omkring hende",,False,
OL,Afvist protest sender danskere ud af bronzekamp,"Lin Ea Cenholt og Christian Lübeck kan ikke længere hente metal i Nacra 17-båden, efter at protest er afvist",,True,x
OL,Jacobsen er mere træt end bekymret over dansk nederlag,"Et energiforladt dansk landshold tabte den sidste gruppekamp ved OL mod Sverige, men landstræneren er ikke bekymret",,True,
OL,Danmark taber til Sverige - holder fast i førsteplads,"Danmark tabte til Sverige, men holder fast i førstepladsen og skal møde Norge i OL-kvartfinalen",,True,
OL,- Hun er ved at blive en levende legende for øjnene af os,"Anne-Marie Rindom har med flid, en legende tilgang til sporten og højt humør udviklet sig fra ung, uprøvet sejler til en af verdens allerbedste",,False,
OL,Italiener er klodens hurtigste mand,Usain Bolts efterfølger er fundet. Lamont Marcell Jacobs vandt 100-meterfinalen,,True,
OL,Rindom fik opkald fra kæresten: - Ville ønske han var her,"Anne-Marie Rindom glæder sig over sin OL-guldmedalje, men ville ønske, at hun kunne fejre den med flere",,True,
OL,Dansker piner sig syv kilo ned i vægt før OL-debut,Fredrik Bjerrehuus har i to måneder tørstegt maden og undgået for mange kalorier for at nå ned i vægt til OL,,False,
OL,"- Axelsen vidste ikke, hvordan han skulle spille mod mig","Kevin Cordon viste flot spil, men i sidste ende var det Viktor Axelsen, der kunne gå sejrrigt fra OL-semifinalen",,True,
OL,Hest aflivet efter OL-konkurrence,Hesten Jet Set er blevet aflivet efter søndagens terrænridt ved OL i Tokyo,,False,
OL,Rindom havde en defekt i guldjagt - vandet kunne ikke komme ud,"Sejleren Anne-Marie Rindom kæmpede sig søndag til en OL-guldmedalje, men vejen dertil var ikke ligefrem nem",,True,
OL,Rindom fik kronprinsen i røret efter guldtriumf,"Anne-Marie Rindom er lykkelig over, at hun kunne stå for presset i medaljesejladsen ved OL",,False,x
OL,"Familien Rindom tog på ferie samme sted i 20 år, så datteren kunne træne: - Jeg er så stolt","Kort efter Anne-Marie Random var kommet på land, ringede Kronprins Frederik til hende for at lykønske med guldet",,False,
OL,"Danmark vil gerne vinde gruppen, men ikke for enhver pris",Danmark kan tåle at tabe med fire til Sverige i den sidste gruppekamp og stadig slutte på førstepladsen,,False,
OL,"- Jeg er fuldstændig oppe at køre, siger Rindom","Anne-Marie Rindom sikrede Danmark den første guldmedalje ved dette OL, da hun søndag sejlede sig til en førsteplads i Laser Radial-klassen",,True,
OL,Anne-Marie Rindom vinder OL-guld,"Anne-Marie Rindom gik ind til det sidste sejlads med en føring, men det var flere gange tæt på at glippe",,True,
